,name,address
1,가배도 신논현,서울 강남구 강남대로110길 13 2
2,타우너스 에스프레소 바,서울 강남구 테헤란로28길 41 타우너스 1층
3,브릭샌드 강남역점,서울 강남구 강남대로 396 강남역 신분당선 지하1층
4,평화다방 강남역점,서울 강남구 강남대로94길 10 2층
5,셀렉티드마롱 강남역점,서울 강남구 테헤란로4길 37
6,베이커리로컬 강남역점,서울 강남구 강남대로102길 15
7,어퍼앤언더,서울 강남구 강남대로102길 28 지하1층
8,폴인팬케이크 강남점,서울 강남구 봉은사로6길 29 매사빌딩 1층
9,수수커피 강남N타워점,서울 강남구 테헤란로 129 강남N타워 G층 2호 수수커피
10,클로리스 역삼 GFC점,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층
11,바게트케이,서울 강남구 테헤란로34길 21-10
12,브루커피 강남타워300점,서울 강남구 테헤란로2길 21 1
13,커피스니퍼 센터필드점,서울 강남구 테헤란로 231 센터필드 지상 2층 E207호 커피스니퍼
14,카페온화 강남점,서울 강남구 봉은사로4길 37 2층
15,아방베이커리 센터필드점,서울 강남구 테헤란로 231 센터필드 웨스트동 1층 아방 베이커리
16,수플레 팬케이크 소과당 본점,서울 강남구 강남대로96길 12 A동 2층 소과당
17,OPH 센터필드점,서울 강남구 테헤란로 231 EAST동 2층 E208호
18,원퍼밀커피 신논현본점,서울 강남구 강남대로106길 7 1층
19,배스킨라빈스 강남대로점,서울 강남구 강남대로 442 (역삼동) A동 1층
20,투썸플레이스 강남대륭타워점,서울 강남구 강남대로 362-2 가로판매대
21,얌얌브레드 강남역점,서울 강남구 강남대로 358 1층 얌얌브레드
22,신데렐라롱 강남본점,서울 강남구 역삼로 139 105호
23,빌리엔젤 강남역5호점,서울 강남구 강남대로94길 10 1층 빌리엔젤
24,폴바셋 GFC점,서울 강남구 테헤란로 152 강남파이낸스센터 지하1층
25,요거티 강남본점,서울 강남구 도곡로13길 5 1층
26,투썸플레이스 강남역삼로점,서울 강남구 역삼로 118 1층
27,범표원두 역삼점,서울 강남구 테헤란로37길 42 지하1층
28,카페무라노,경남 창원시 진해구 신항북로 202 이지더원2차 상가 214동 103호
29,오디오시 요거트,서울 강남구 역삼로 133
30,노아베이커리 GFC점,서울 강남구 테헤란로 152 B1
31,스타벅스 르네상스사거리점,서울 강남구 테헤란로 306
32,스타벅스 강남오거리점,서울 강남구 봉은사로2길 39
33,채우다 역삼DV점,서울 강남구 테헤란로26길 14 대세빌딩 지하 1층
34,바나프레소 강남효성점,서울 강남구 강남대로84길 15
35,빌리엔젤 강남358타워점,서울 강남구 강남대로 358 104호 빌리엔젤 강남358타워점
36,스타벅스 역삼초교사거리점,서울 강남구 역삼로 123
37,공차 강남글라스점,서울 강남구 강남대로 406 글라스타워 2층
38,유로스커피 로스터스 센터필드점,서울 강남구 테헤란로37길 7 조이타워 1층 유로스커피 로스터스 센터필드점
39,엔제리너스 강남역사거리점,서울 강남구 테헤란로 116 1층 엔제리너스 커피
40,설빙 강남역2호점,서울 강남구 봉은사로2길 21 반석빌딩
41,지유가오카핫초메 선릉점,서울 강남구 역삼2동 709
42,몽슈슈 카페 드 몽슈슈 선정릉점,서울 강남구 봉은사로 328 102호
43,커피빈 강남대로센터점,서울 강남구 강남대로 442 흥국생명빌딩 2층
44,공차 강남대성학원점,서울 강남구 강남대로84길 16 제이스타워 103호
45,스타벅스 강남비젼타워점,서울 강남구 테헤란로2길 27
46,투썸플레이스 선릉로점,서울 강남구 선릉로93길 54 일환빌딩1-2층
47,어그리커피 본점,서울 강남구 논현로63길 16 지상1층 123호
48,브리오슈도레 언주역점,서울 강남구 논현로 561 언주S타워 1층
49,해머스미스커피 본점,서울 강남구 논현로94길 7
50,스타벅스 도곡공원점,서울 강남구 도곡로 205
51,투썸플레이스 역삼성홍타워점,서울 강남구 테헤란로 138 1층 투썸플레이스
52,쥬씨 강남역세무서점,서울 강남구 테헤란로4길 25
53,하타가야 본점,서울 강남구 봉은사로 146 1층 하타가야
54,카페바이이브릭 강남본점,서울 강남구 역삼로 122
55,스타벅스 아크플레이스점,서울 강남구 테헤란로 142
56,퍼햅스 강남본점,서울 강남구 논현로86길 27
57,컴포즈커피 강남역사점,서울 강남구 테헤란로 101 지하 1층 E-43 컴포즈커피 강남역사점
58,블루샥 역삼점,서울 강남구 테헤란로33길 5 1층
59,바나프레소 한티역점,서울 강남구 선릉로 311
60,바나프레소 테헤란로점,서울 강남구 테헤란로 208 바나프레소
61,할리스 역삼스타점,서울 강남구 테헤란로26길 12
62,투썸플레이스 강남역중앙점,서울 강남구 테헤란로1길 16
63,반지만들기 세모네모동그라미,서울 강남구 강남대로106길 14
64,투썸플레이스 강남역KR타워점,서울 강남구 강남대로84길 13 1층 투썸플레이스
65,커피빈 강남역먹자골목점,서울 강남구 테헤란로1길 29
66,콜렉티보 GFC점,서울 강남구 테헤란로 152 강남파이낸스센터 1층
67,커피기업 강남GFC직영점,서울 강남구 테헤란로 152
68,파스쿠찌 역삼테헤란점,서울 강남구 테헤란로 151 (역삼동)
69,아마스빈 강남역1호점,서울 강남구 테헤란로4길 32 역삼우정에쉐르 102호
70,백미당 강남358타워점,서울 강남구 강남대로 358
71,타브스 에스프레소 바,서울 강남구 논현로63길 43 1층
72,스타벅스 센터필드R점,서울 강남구 테헤란로 231
73,커피빈 강남역랭기지타워점,서울 강남구 테헤란로4길 28 시사빌딩
74,해머스미스커피 역삼테헤란로점,서울 강남구 테헤란로14길 5 삼흥역삼빌딩 지상1층
75,엔젤북카페 역삼점,서울 강남구 테헤란로8길 40 1층
76,매머드익스프레스 역삼언주로점,서울 강남구 언주로85길 32
77,스타벅스 역삼포스코점,서울 강남구 테헤란로 134
78,가유카페 강남점,서울 강남구 논현로102길 12 b102호
